c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1r,s2r,s3r,s4r,s5r,s6r,s7r,s8r,s9r,s10r,s1ts,s2ts,s3ts,s4ts,s5ts,s6ts,s7ts,s8ts,s9ts,s10ts,result,gamemode
63,145,99,80,101,119,21,127,111,523,1000,1000,1000,1762,1737,1682,1808,2211,1767,1303,50,50,50,50,50,30,30,30,-30,30,True,ARAM

112,40,2,45,102,62,38,5,266,145,2110,1831,1704,2532,2148,1000,1000,2512,1696,2113,-50,-90,-90,50,10,-50,-50,50,30,30,True,ARAM

350,29,59,236,36,10,82,67,31,115,2170,2139,2127,2142,2173,2207,1831,2149,1000,1000,-10,10,-10,-10,90,-50,90,50,-50,-50,True,ARAM

39,18,43,96,518,81,51,64,77,105,2343,1000,2168,1000,1000,2132,2194,2012,2384,2061,-30,30,-10,-50,-50,30,-10,70,-50,-50,True,ARAM

104,154,131,498,143,64,517,245,29,117,1000,1627,827,935,1000,1000,1708,1519,1000,1872,-90,-50,-50,-50,10,30,90,90,90,50,False,ranked

240,28,45,29,555,39,11,34,81,16,1229,935,1770,929,827,754,570,963,956,1603,50,-50,-50,-30,-50,10,10,-30,30,30,False,ranked

92,141,518,61,235,64,113,25,498,497,929,1020,1095,570,789,1039,1000,1000,1296,1000,-30,-90,-30,10,-50,50,10,10,-50,10,False,ranked

39,77,17,21,267,10,72,84,498,99,1191,570,895,948,1045,1662,1396,636,1040,714,-30,10,50,10,50,-50,-90,50,50,50,True,ranked

887,203,38,202,44,36,141,517,222,37,757,1284,581,1923,1373,1000,768,469,570,843,-10,-10,-50,-90,-10,50,50,50,10,10,False,ranked

39,19,518,145,99,17,31,103,22,147,674,703,1411,570,1334,1014,920,564,849,852,50,30,90,10,30,-90,10,-90,-50,-90,True,ranked

24,11,238,21,89,17,254,45,523,22,1002,856,949,1184,835,842,1000,1770,1827,883,30,30,-10,30,-10,-50,-30,-50,-10,-10,True,ranked

80,245,101,36,412,67,254,38,145,111,755,947,1000,812,1082,897,1000,1770,913,1000,-50,90,-50,-90,-50,10,-30,-50,-50,-50,False,ranked

85,254,45,203,103,75,82,131,18,25,1021,1000,1770,1251,1218,1000,1026,1860,939,1440,50,-30,-50,-90,30,90,-40,-50,-50,10,False,ranked

86,19,84,222,57,54,254,45,62,37,1515,920,1793,1688,858,927,1000,1770,1799,900,-90,-30,30,-90,-30,90,-30,-50,-10,-90,False,ranked

10,141,131,145,350,31,35,103,202,267,767,707,827,935,929,893,1080,817,918,1412,-90,-50,-50,-50,-30,-90,-50,-90,-50,-50,True,ranked

85,35,268,81,99,875,141,234,110,25,1000,656,1000,1000,1000,861,707,970,909,1578,50,50,50,50,50,-90,-50,-90,-30,-30,True,ranked

75,19,131,21,147,31,77,103,18,235,1823,707,876,943,737,1643,1083,1025,582,901,-50,-50,30,-10,-90,10,10,30,90,50,False,ranked

23,107,238,51,89,75,141,157,18,350,1000,785,1426,1266,768,768,707,740,953,795,-50,-50,-30,-50,-10,-50,-50,90,-90,90,False,ranked

56,19,777,18,113,17,23,1,222,99,1510,707,1131,841,1074,933,1339,808,745,1371,90,-50,-10,50,30,-90,-90,-90,-30,-90,True,ranked

45,141,84,51,16,887,32,517,222,99,909,707,727,1248,1209,568,636,792,843,746,90,-50,-30,-10,30,-90,-90,-90,-30,-90,True,ranked

